nohup: ignoring input
[2025-12-01 13:14:35] [WARNING] exchange_api: 🚀 [REAL]
[2025-12-01 13:14:35] [INFO] main: 🤖 Bybit Wave Bot v8.1 Starting...
[2025-12-01 13:17:38] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:42] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:17:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:12] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:42] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:18:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:11] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:41] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:19:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:11] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:42] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:20:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:12] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:41] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:21:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:11] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:42] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:22:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:12] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:42] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
